GAME_ID,TEAM0_TEAM_ABBREVIATION,TEAM0_PTS,TEAM0_REB,TEAM0_AST,TEAM0_FG_PCT,TEAM0_TO,TEAM0_PLUS_MINUS,TEAM0_TEAM_ORDER,TEAM1_TEAM_ABBREVIATION,TEAM1_PTS,TEAM1_REB,TEAM1_AST,TEAM1_FG_PCT,TEAM1_TO,TEAM1_PLUS_MINUS,TEAM1_TEAM_ORDER,TEAM0_WIN,TEAM0_GAME_DATE,TEAM1_GAME_DATE,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO
22300024,DEN,111.0,36.0,26.0,0.534,,,0,LAC,108.0,42.0,21.0,0.43,,,1,1,2023-11-14,2023-11-14,1663.123827,1495.789033,1663.123827,1495.789033,1663.123827,1495.789033,1663.123827,1495.789033,1663.123827,1495.789033
22300025,MIN,104.0,42.0,24.0,0.444,,,0,GSW,101.0,46.0,28.0,0.42,,,1,1,2023-11-14,2023-11-14,1579.519369,1576.493623,1579.519369,1576.493623,1579.519369,1576.493623,1579.519369,1576.493623,1579.519369,1576.493623
22300026,LAL,134.0,54.0,30.0,0.58,,,0,MEM,107.0,33.0,28.0,0.368,,,1,1,2023-11-14,2023-11-14,1533.329612,1480.430922,1533.329612,1480.430922,1533.329612,1480.430922,1533.329612,1480.430922,1533.329612,1480.430922
22300027,MIL,130.0,49.0,32.0,0.551,,,0,CHA,99.0,43.0,18.0,0.407,,,1,1,2023-11-17,2023-11-17,1548.257636,,1548.257636,,1548.257636,,1548.257636,,1548.257636,
22300028,NYK,120.0,48.0,26.0,0.495,,,0,WAS,99.0,32.0,25.0,0.451,,,1,1,2023-11-17,2023-11-17,1582.150062,1409.717717,1582.150062,1409.717717,1582.150062,1409.717717,1582.150062,1409.717717,1582.150062,1409.717717
22300029,PHI,126.0,43.0,32.0,0.489,,,0,ATL,116.0,39.0,24.0,0.449,,,1,1,2023-11-17,2023-11-17,1612.694931,1543.965386,1612.694931,1543.965386,1612.694931,1543.965386,1612.694931,1543.965386,1612.694931,1543.965386
22300030,CLE,108.0,39.0,21.0,0.512,,,0,DET,100.0,51.0,20.0,0.429,,,1,1,2023-11-17,2023-11-17,1537.608719,1319.351363,1537.608719,1319.351363,1537.608719,1319.351363,1537.608719,1319.351363,1537.608719,1319.351363
22300031,BOS,108.0,44.0,29.0,0.457,,,0,TOR,105.0,41.0,29.0,0.483,,,1,1,2023-11-17,2023-11-17,1682.670675,1519.663439,1682.670675,1519.663439,1682.670675,1519.663439,1682.670675,1519.663439,1682.670675,1519.663439
22300032,SAC,129.0,42.0,31.0,0.541,,,0,SAS,120.0,42.0,33.0,0.467,,,1,1,2023-11-17,2023-11-17,1531.64032,1350.03745,1531.64032,1350.03745,1531.64032,1350.03745,1531.64032,1350.03745,1531.64032,1350.03745
22300033,ORL,103.0,46.0,24.0,0.481,,,0,CHI,97.0,34.0,19.0,0.443,,,1,1,2023-11-17,2023-11-17,1478.258921,1480.040095,1478.258921,1480.040095,1478.258921,1480.040095,1478.258921,1480.040095,1478.258921,1480.040095
