TEAM_ABBREVIATION_TEAM0,GAME_DATE,ELO_TEAM0,SCORE_TEAM0,IS_HOME_TEAM0,TEAM_ORDER_TEAM0,TEAM_ABBREVIATION_TEAM1,ELO_TEAM1,SCORE_TEAM1,IS_HOME_TEAM1,TEAM_ORDER_TEAM1
NYK,2025-01-01,1661.170215,119,1,0,UTA,1372.436361,103,1,1
NYK,2025-01-01,1661.170215,119,1,0,NYK,1661.170215,119,0,1
NYK,2025-01-01,1661.170215,119,1,0,PHI,1487.410212,107,1,1
NYK,2025-01-01,1661.170215,119,1,0,SAC,1484.041421,113,0,1
NYK,2025-01-01,1661.170215,119,1,0,BRK,1400.32829,113,1,1
NYK,2025-01-01,1661.170215,119,1,0,TOR,1323.89277,130,0,1
NYK,2025-01-01,1661.170215,119,1,0,CHI,1458.048986,107,1,1
NYK,2025-01-01,1661.170215,119,1,0,WAS,1254.597628,125,0,1
UTA,2025-01-01,1372.436361,103,0,0,ATL,1512.982916,120,1,1
UTA,2025-01-01,1372.436361,103,0,0,DEN,1592.839072,139,0,1
UTA,2025-01-01,1372.436361,103,0,0,ORL,1549.455058,96,1,1
UTA,2025-01-01,1372.436361,103,0,0,DET,1427.194001,105,0,1
UTA,2025-01-01,1372.436361,103,0,0,DAL,1613.209591,99,1,1
UTA,2025-01-01,1372.436361,103,0,0,HOU,1591.609467,110,0,1
UTA,2025-01-01,1372.436361,103,0,0,NOP,1335.557593,108,1,1
UTA,2025-01-01,1372.436361,103,0,0,MIA,1556.549834,119,0,1
UTA,2025-01-01,1372.436361,103,0,0,UTA,1372.436361,103,1,1
UTA,2025-01-01,1372.436361,103,0,0,NYK,1661.170215,119,0,1
UTA,2025-01-01,1372.436361,103,0,0,PHI,1487.410212,107,1,1
UTA,2025-01-01,1372.436361,103,0,0,SAC,1484.041421,113,0,1
UTA,2025-01-01,1372.436361,103,0,0,BRK,1400.32829,113,1,1
UTA,2025-01-01,1372.436361,103,0,0,TOR,1323.89277,130,0,1
UTA,2025-01-01,1372.436361,103,0,0,CHI,1458.048986,107,1,1
UTA,2025-01-01,1372.436361,103,0,0,WAS,1254.597628,125,0,1
SAC,2025-01-01,1484.041421,113,1,0,ATL,1512.982916,120,1,1
SAC,2025-01-01,1484.041421,113,1,0,DEN,1592.839072,139,0,1
SAC,2025-01-01,1484.041421,113,1,0,ORL,1549.455058,96,1,1
SAC,2025-01-01,1484.041421,113,1,0,DET,1427.194001,105,0,1
SAC,2025-01-01,1484.041421,113,1,0,DAL,1613.209591,99,1,1
SAC,2025-01-01,1484.041421,113,1,0,HOU,1591.609467,110,0,1
SAC,2025-01-01,1484.041421,113,1,0,NOP,1335.557593,108,1,1
SAC,2025-01-01,1484.041421,113,1,0,MIA,1556.549834,119,0,1
SAC,2025-01-01,1484.041421,113,1,0,UTA,1372.436361,103,1,1
SAC,2025-01-01,1484.041421,113,1,0,NYK,1661.170215,119,0,1
SAC,2025-01-01,1484.041421,113,1,0,PHI,1487.410212,107,1,1
SAC,2025-01-01,1484.041421,113,1,0,SAC,1484.041421,113,0,1
SAC,2025-01-01,1484.041421,113,1,0,BRK,1400.32829,113,1,1
SAC,2025-01-01,1484.041421,113,1,0,TOR,1323.89277,130,0,1
SAC,2025-01-01,1484.041421,113,1,0,CHI,1458.048986,107,1,1
SAC,2025-01-01,1484.041421,113,1,0,WAS,1254.597628,125,0,1
PHI,2025-01-01,1487.410212,107,0,0,ATL,1512.982916,120,1,1
PHI,2025-01-01,1487.410212,107,0,0,DEN,1592.839072,139,0,1
PHI,2025-01-01,1487.410212,107,0,0,ORL,1549.455058,96,1,1
PHI,2025-01-01,1487.410212,107,0,0,DET,1427.194001,105,0,1
PHI,2025-01-01,1487.410212,107,0,0,DAL,1613.209591,99,1,1
PHI,2025-01-01,1487.410212,107,0,0,HOU,1591.609467,110,0,1
PHI,2025-01-01,1487.410212,107,0,0,NOP,1335.557593,108,1,1
PHI,2025-01-01,1487.410212,107,0,0,MIA,1556.549834,119,0,1
PHI,2025-01-01,1487.410212,107,0,0,UTA,1372.436361,103,1,1
PHI,2025-01-01,1487.410212,107,0,0,NYK,1661.170215,119,0,1
PHI,2025-01-01,1487.410212,107,0,0,PHI,1487.410212,107,1,1
PHI,2025-01-01,1487.410212,107,0,0,SAC,1484.041421,113,0,1
PHI,2025-01-01,1487.410212,107,0,0,BRK,1400.32829,113,1,1
PHI,2025-01-01,1487.410212,107,0,0,TOR,1323.89277,130,0,1
PHI,2025-01-01,1487.410212,107,0,0,CHI,1458.048986,107,1,1
PHI,2025-01-01,1487.410212,107,0,0,WAS,1254.597628,125,0,1
TOR,2025-01-01,1323.89277,130,1,0,ATL,1512.982916,120,1,1
TOR,2025-01-01,1323.89277,130,1,0,DEN,1592.839072,139,0,1
TOR,2025-01-01,1323.89277,130,1,0,ORL,1549.455058,96,1,1
TOR,2025-01-01,1323.89277,130,1,0,DET,1427.194001,105,0,1
TOR,2025-01-01,1323.89277,130,1,0,DAL,1613.209591,99,1,1
TOR,2025-01-01,1323.89277,130,1,0,HOU,1591.609467,110,0,1
TOR,2025-01-01,1323.89277,130,1,0,NOP,1335.557593,108,1,1
TOR,2025-01-01,1323.89277,130,1,0,MIA,1556.549834,119,0,1
TOR,2025-01-01,1323.89277,130,1,0,UTA,1372.436361,103,1,1
TOR,2025-01-01,1323.89277,130,1,0,NYK,1661.170215,119,0,1
TOR,2025-01-01,1323.89277,130,1,0,PHI,1487.410212,107,1,1
TOR,2025-01-01,1323.89277,130,1,0,SAC,1484.041421,113,0,1
TOR,2025-01-01,1323.89277,130,1,0,BRK,1400.32829,113,1,1
TOR,2025-01-01,1323.89277,130,1,0,TOR,1323.89277,130,0,1
TOR,2025-01-01,1323.89277,130,1,0,CHI,1458.048986,107,1,1
TOR,2025-01-01,1323.89277,130,1,0,WAS,1254.597628,125,0,1
BRK,2025-01-01,1400.32829,113,0,0,ATL,1512.982916,120,1,1
BRK,2025-01-01,1400.32829,113,0,0,DEN,1592.839072,139,0,1
BRK,2025-01-01,1400.32829,113,0,0,ORL,1549.455058,96,1,1
BRK,2025-01-01,1400.32829,113,0,0,DET,1427.194001,105,0,1
BRK,2025-01-01,1400.32829,113,0,0,DAL,1613.209591,99,1,1
BRK,2025-01-01,1400.32829,113,0,0,HOU,1591.609467,110,0,1
BRK,2025-01-01,1400.32829,113,0,0,NOP,1335.557593,108,1,1
BRK,2025-01-01,1400.32829,113,0,0,MIA,1556.549834,119,0,1
BRK,2025-01-01,1400.32829,113,0,0,UTA,1372.436361,103,1,1
BRK,2025-01-01,1400.32829,113,0,0,NYK,1661.170215,119,0,1
BRK,2025-01-01,1400.32829,113,0,0,PHI,1487.410212,107,1,1
BRK,2025-01-01,1400.32829,113,0,0,SAC,1484.041421,113,0,1
BRK,2025-01-01,1400.32829,113,0,0,BRK,1400.32829,113,1,1
BRK,2025-01-01,1400.32829,113,0,0,TOR,1323.89277,130,0,1
BRK,2025-01-01,1400.32829,113,0,0,CHI,1458.048986,107,1,1
BRK,2025-01-01,1400.32829,113,0,0,WAS,1254.597628,125,0,1
WAS,2025-01-01,1254.597628,125,1,0,ATL,1512.982916,120,1,1
WAS,2025-01-01,1254.597628,125,1,0,DEN,1592.839072,139,0,1
WAS,2025-01-01,1254.597628,125,1,0,ORL,1549.455058,96,1,1
WAS,2025-01-01,1254.597628,125,1,0,DET,1427.194001,105,0,1
WAS,2025-01-01,1254.597628,125,1,0,DAL,1613.209591,99,1,1
WAS,2025-01-01,1254.597628,125,1,0,HOU,1591.609467,110,0,1
WAS,2025-01-01,1254.597628,125,1,0,NOP,1335.557593,108,1,1
WAS,2025-01-01,1254.597628,125,1,0,MIA,1556.549834,119,0,1
WAS,2025-01-01,1254.597628,125,1,0,UTA,1372.436361,103,1,1
WAS,2025-01-01,1254.597628,125,1,0,NYK,1661.170215,119,0,1
WAS,2025-01-01,1254.597628,125,1,0,PHI,1487.410212,107,1,1
WAS,2025-01-01,1254.597628,125,1,0,SAC,1484.041421,113,0,1
WAS,2025-01-01,1254.597628,125,1,0,BRK,1400.32829,113,1,1
WAS,2025-01-01,1254.597628,125,1,0,TOR,1323.89277,130,0,1
WAS,2025-01-01,1254.597628,125,1,0,CHI,1458.048986,107,1,1
WAS,2025-01-01,1254.597628,125,1,0,WAS,1254.597628,125,0,1
CHI,2025-01-01,1458.048986,107,0,0,ATL,1512.982916,120,1,1
CHI,2025-01-01,1458.048986,107,0,0,DEN,1592.839072,139,0,1
CHI,2025-01-01,1458.048986,107,0,0,ORL,1549.455058,96,1,1
CHI,2025-01-01,1458.048986,107,0,0,DET,1427.194001,105,0,1
CHI,2025-01-01,1458.048986,107,0,0,DAL,1613.209591,99,1,1
CHI,2025-01-01,1458.048986,107,0,0,HOU,1591.609467,110,0,1
CHI,2025-01-01,1458.048986,107,0,0,NOP,1335.557593,108,1,1
CHI,2025-01-01,1458.048986,107,0,0,MIA,1556.549834,119,0,1
CHI,2025-01-01,1458.048986,107,0,0,UTA,1372.436361,103,1,1
CHI,2025-01-01,1458.048986,107,0,0,NYK,1661.170215,119,0,1
CHI,2025-01-01,1458.048986,107,0,0,PHI,1487.410212,107,1,1
CHI,2025-01-01,1458.048986,107,0,0,SAC,1484.041421,113,0,1
CHI,2025-01-01,1458.048986,107,0,0,BRK,1400.32829,113,1,1
CHI,2025-01-01,1458.048986,107,0,0,TOR,1323.89277,130,0,1
CHI,2025-01-01,1458.048986,107,0,0,CHI,1458.048986,107,1,1
CHI,2025-01-01,1458.048986,107,0,0,WAS,1254.597628,125,0,1
GSW,2025-01-02,1529.045115,139,1,0,PHI,1482.178788,105,1,1
GSW,2025-01-02,1529.045115,139,1,0,GSW,1529.045115,139,0,1
GSW,2025-01-02,1529.045115,139,1,0,POR,1328.544999,106,1,1
GSW,2025-01-02,1529.045115,139,1,0,LAL,1525.376006,114,0,1
GSW,2025-01-02,1529.045115,139,1,0,IND,1530.533171,128,1,1
GSW,2025-01-02,1529.045115,139,1,0,MIA,1558.935299,115,0,1
GSW,2025-01-02,1529.045115,139,1,0,BRK,1386.925411,113,1,1
GSW,2025-01-02,1529.045115,139,1,0,MIL,1556.238422,110,0,1
GSW,2025-01-02,1529.045115,139,1,0,BOS,1672.790553,118,1,1
GSW,2025-01-02,1529.045115,139,1,0,MIN,1581.819671,115,0,1
GSW,2025-01-02,1529.045115,139,1,0,LAC,1546.32065,98,1,1
GSW,2025-01-02,1529.045115,139,1,0,OKC,1726.316442,116,0,1
PHI,2025-01-02,1482.178788,105,0,0,PHI,1482.178788,105,1,1
PHI,2025-01-02,1482.178788,105,0,0,GSW,1529.045115,139,0,1
PHI,2025-01-02,1482.178788,105,0,0,POR,1328.544999,106,1,1
PHI,2025-01-02,1482.178788,105,0,0,LAL,1525.376006,114,0,1
PHI,2025-01-02,1482.178788,105,0,0,IND,1530.533171,128,1,1
PHI,2025-01-02,1482.178788,105,0,0,MIA,1558.935299,115,0,1
PHI,2025-01-02,1482.178788,105,0,0,BRK,1386.925411,113,1,1
PHI,2025-01-02,1482.178788,105,0,0,MIL,1556.238422,110,0,1
PHI,2025-01-02,1482.178788,105,0,0,BOS,1672.790553,118,1,1
PHI,2025-01-02,1482.178788,105,0,0,MIN,1581.819671,115,0,1
PHI,2025-01-02,1482.178788,105,0,0,LAC,1546.32065,98,1,1
PHI,2025-01-02,1482.178788,105,0,0,OKC,1726.316442,116,0,1
LAL,2025-01-02,1525.376006,114,1,0,PHI,1482.178788,105,1,1
LAL,2025-01-02,1525.376006,114,1,0,GSW,1529.045115,139,0,1
LAL,2025-01-02,1525.376006,114,1,0,POR,1328.544999,106,1,1
LAL,2025-01-02,1525.376006,114,1,0,LAL,1525.376006,114,0,1
LAL,2025-01-02,1525.376006,114,1,0,IND,1530.533171,128,1,1
LAL,2025-01-02,1525.376006,114,1,0,MIA,1558.935299,115,0,1
LAL,2025-01-02,1525.376006,114,1,0,BRK,1386.925411,113,1,1
LAL,2025-01-02,1525.376006,114,1,0,MIL,1556.238422,110,0,1
LAL,2025-01-02,1525.376006,114,1,0,BOS,1672.790553,118,1,1
LAL,2025-01-02,1525.376006,114,1,0,MIN,1581.819671,115,0,1
LAL,2025-01-02,1525.376006,114,1,0,LAC,1546.32065,98,1,1
LAL,2025-01-02,1525.376006,114,1,0,OKC,1726.316442,116,0,1
POR,2025-01-02,1328.544999,106,0,0,PHI,1482.178788,105,1,1
POR,2025-01-02,1328.544999,106,0,0,GSW,1529.045115,139,0,1
POR,2025-01-02,1328.544999,106,0,0,POR,1328.544999,106,1,1
POR,2025-01-02,1328.544999,106,0,0,LAL,1525.376006,114,0,1
POR,2025-01-02,1328.544999,106,0,0,IND,1530.533171,128,1,1
POR,2025-01-02,1328.544999,106,0,0,MIA,1558.935299,115,0,1
POR,2025-01-02,1328.544999,106,0,0,BRK,1386.925411,113,1,1
POR,2025-01-02,1328.544999,106,0,0,MIL,1556.238422,110,0,1
POR,2025-01-02,1328.544999,106,0,0,BOS,1672.790553,118,1,1
POR,2025-01-02,1328.544999,106,0,0,MIN,1581.819671,115,0,1
POR,2025-01-02,1328.544999,106,0,0,LAC,1546.32065,98,1,1
POR,2025-01-02,1328.544999,106,0,0,OKC,1726.316442,116,0,1
MIA,2025-01-02,1558.935299,115,1,0,PHI,1482.178788,105,1,1
MIA,2025-01-02,1558.935299,115,1,0,GSW,1529.045115,139,0,1
MIA,2025-01-02,1558.935299,115,1,0,POR,1328.544999,106,1,1
MIA,2025-01-02,1558.935299,115,1,0,LAL,1525.376006,114,0,1
MIA,2025-01-02,1558.935299,115,1,0,IND,1530.533171,128,1,1
MIA,2025-01-02,1558.935299,115,1,0,MIA,1558.935299,115,0,1
MIA,2025-01-02,1558.935299,115,1,0,BRK,1386.925411,113,1,1
MIA,2025-01-02,1558.935299,115,1,0,MIL,1556.238422,110,0,1
MIA,2025-01-02,1558.935299,115,1,0,BOS,1672.790553,118,1,1
MIA,2025-01-02,1558.935299,115,1,0,MIN,1581.819671,115,0,1
MIA,2025-01-02,1558.935299,115,1,0,LAC,1546.32065,98,1,1
MIA,2025-01-02,1558.935299,115,1,0,OKC,1726.316442,116,0,1
IND,2025-01-02,1530.533171,128,0,0,PHI,1482.178788,105,1,1
IND,2025-01-02,1530.533171,128,0,0,GSW,1529.045115,139,0,1
IND,2025-01-02,1530.533171,128,0,0,POR,1328.544999,106,1,1
IND,2025-01-02,1530.533171,128,0,0,LAL,1525.376006,114,0,1
IND,2025-01-02,1530.533171,128,0,0,IND,1530.533171,128,1,1
IND,2025-01-02,1530.533171,128,0,0,MIA,1558.935299,115,0,1
IND,2025-01-02,1530.533171,128,0,0,BRK,1386.925411,113,1,1
IND,2025-01-02,1530.533171,128,0,0,MIL,1556.238422,110,0,1
IND,2025-01-02,1530.533171,128,0,0,BOS,1672.790553,118,1,1
IND,2025-01-02,1530.533171,128,0,0,MIN,1581.819671,115,0,1
IND,2025-01-02,1530.533171,128,0,0,LAC,1546.32065,98,1,1
IND,2025-01-02,1530.533171,128,0,0,OKC,1726.316442,116,0,1
MIL,2025-01-02,1556.238422,110,1,0,PHI,1482.178788,105,1,1
MIL,2025-01-02,1556.238422,110,1,0,GSW,1529.045115,139,0,1
MIL,2025-01-02,1556.238422,110,1,0,POR,1328.544999,106,1,1
MIL,2025-01-02,1556.238422,110,1,0,LAL,1525.376006,114,0,1
